# Thumb Tracking Data
# thumb_tip_x, thumb_tip_y, thumb_tip_z
0.006939, 0.085437, 0.033203
0.012153, 0.094065, 0.001791
0.011202, 0.093784, -0.002133
0.011202, 0.093784, -0.002133
0.010634, 0.094602, 0.000296
0.010634, 0.094602, 0.000296
0.010704, 0.094089, 0.001881
0.010580, 0.093539, 0.002263
0.010580, 0.093539, 0.002263
0.009866, 0.093301, 0.003896
0.009866, 0.093301, 0.003896
0.009353, 0.093273, 0.002646
0.009353, 0.093273, 0.002646
0.009336, 0.092732, 0.003627
0.009606, 0.091895, 0.009458
0.009606, 0.091895, 0.009458
0.008571, 0.092302, 0.028498
0.008571, 0.092302, 0.028498
0.008571, 0.092302, 0.028498
0.001697, 0.091060, 0.034540
0.002366, 0.093595, 0.029275
0.001061, 0.093681, 0.030946
0.001061, 0.093681, 0.030946
0.001727, 0.094279, 0.027729
0.001612, 0.094456, 0.027496
0.001648, 0.094497, 0.026800
0.001976, 0.093803, 0.028161
0.001976, 0.093803, 0.028161
0.001450, 0.093913, 0.028209
0.001450, 0.093913, 0.028209
0.001601, 0.094086, 0.028260
0.002446, 0.094145, 0.028704
0.002996, 0.092800, 0.027566
0.002996, 0.092800, 0.027566
0.002134, 0.093295, 0.028109
0.001459, 0.093919, 0.027918
0.001459, 0.093919, 0.027918
0.001708, 0.094330, 0.027966
0.001708, 0.094330, 0.027966
0.001551, 0.094549, 0.027930
0.001551, 0.094549, 0.027930
0.003870, 0.091426, 0.033453
0.003870, 0.091426, 0.033453
0.006804, 0.091122, 0.026624
0.006883, 0.091889, 0.015619
0.006883, 0.091889, 0.015619
0.007490, 0.093583, 0.012665
0.007490, 0.093583, 0.012665
0.005937, 0.094054, -0.001291
0.005937, 0.094054, -0.001291
0.006135, 0.093667, 0.002552
0.006135, 0.093667, 0.002552
0.006123, 0.093048, 0.004193
0.005554, 0.093391, 0.004956
0.005554, 0.093391, 0.004956
0.006152, 0.094438, 0.004522
0.006152, 0.094438, 0.004522
0.006056, 0.093524, 0.004418
0.006056, 0.093524, 0.004418
0.005829, 0.092731, 0.007023
0.006021, 0.090370, 0.012137
0.006372, 0.092047, 0.012893
0.006372, 0.092047, 0.012893
0.006111, 0.090974, 0.011208
0.006970, 0.089838, 0.019891
0.007591, 0.093432, 0.031451
0.007591, 0.093432, 0.031451
0.005286, 0.092478, 0.024810
0.004755, 0.092661, 0.023054
0.004755, 0.092661, 0.023054
0.004570, 0.092330, 0.024415
0.006124, 0.092170, 0.029766
0.004650, 0.091490, 0.035777
0.004650, 0.091490, 0.035777
0.002146, 0.090342, 0.039572
0.002146, 0.090342, 0.039572
0.001412, 0.091889, 0.040098
-0.000629, 0.092672, 0.038714
0.001393, 0.092538, 0.036664
0.001876, 0.092873, 0.036744
0.001876, 0.092873, 0.036744
0.001858, 0.093120, 0.035414
0.001858, 0.093120, 0.035414
-0.000094, 0.093449, 0.036113
-0.000094, 0.093449, 0.036113
-0.001546, 0.091195, 0.039528
0.001569, 0.090559, 0.045756
0.001569, 0.090559, 0.045756
0.006071, 0.086818, 0.045314
0.006071, 0.086818, 0.045314
0.004610, 0.092853, 0.018399
0.004617, 0.092155, 0.011643
0.004207, 0.091668, 0.013602
0.004649, 0.092263, 0.013831
0.004621, 0.092364, 0.011982
0.004621, 0.092364, 0.011982
0.003551, 0.092109, 0.015184
0.003551, 0.092109, 0.015184
0.003897, 0.091440, 0.012140
0.003795, 0.091737, 0.010522
0.003795, 0.091737, 0.010522
0.004077, 0.091696, 0.012074
0.004535, 0.091056, 0.013854
0.004535, 0.091056, 0.013854
0.003707, 0.092060, 0.012989
0.003942, 0.092531, 0.012592
0.003942, 0.092531, 0.012592
0.004460, 0.091994, 0.010608
0.004460, 0.091994, 0.010608
0.004193, 0.091430, 0.013666
0.004590, 0.091292, 0.015864
0.004590, 0.091292, 0.015864
0.006521, 0.086926, 0.029780
0.004625, 0.081905, 0.064563
0.004625, 0.081905, 0.064563
0.008801, 0.077280, 0.060547
